t,user,final_status,edge_id,delay
29,28,edge,12,14.494637266790228
29,43,edge,7,97.55146097615484
29,67,edge,3,78.19631966421808
29,65,edge,18,27.097297935753833
29,37,edge,2,182.9905054473212
29,31,edge,0,26.83217791541152
29,75,edge,2,223.18615118572188
29,73,edge,11,45.781318724401594
29,48,edge,16,68.38120451047011
29,24,edge,19,121.99897002740732
29,43,edge,12,30.28821225549369
29,13,edge,19,35.702944390856985
29,69,edge,16,70.39079515420117
29,70,edge,8,194.66643306783286
29,9,edge,18,42.432039028823006
29,39,edge,0,18.94694818954105
29,55,edge,14,47.49727235574167
29,60,edge,17,63.55973616453266
29,55,edge,18,164.1965814828777
29,49,edge,3,31.720936659490647
29,1,edge,6,28.784180997025338
29,60,edge,17,52.14131057063499
29,58,edge,18,199.45144504831958
29,29,edge,3,49.86305398132776
30,76,edge,7,155.96398985692196
30,29,edge,16,26.77022503767235
30,40,edge,12,30.53476016920688
30,56,edge,15,86.49504763514724
30,43,edge,19,36.392269908039275
30,52,edge,8,55.902674479059314
30,33,edge,4,32.63206433970557
30,59,edge,7,95.44942114633382
30,79,edge,9,152.91171068703852
30,24,edge,7,17.903310451118717
30,58,edge,9,70.8974261116554
30,53,edge,17,79.55462956558976
30,51,edge,8,76.47365577242364
30,41,edge,15,109.60300622499076
30,10,edge,2,38.75960431473139
30,55,edge,0,20.248321557660258
30,72,edge,9,40.559226697173735
30,63,edge,4,14.758422563237346
30,67,edge,3,100.91727259968977
30,14,edge,9,57.05216030556553
30,8,edge,12,83.58195781635162
30,6,edge,12,45.1881102187659
30,29,edge,3,78.6936324284425
30,77,edge,2,15.267644921897512
30,70,edge,17,20.89954837548432
30,17,edge,0,79.5620659257129
30,64,edge,4,43.5249131148576
30,12,edge,9,34.21419198479779
30,56,edge,18,237.93905456280183
30,21,edge,5,47.370085845864125
30,37,edge,6,130.93548409719386
30,53,edge,18,57.591496086152084
30,17,edge,14,69.09270240910246
31,31,edge,18,21.724420622456034
31,56,edge,11,135.58875408299505
31,62,edge,8,73.54689067398662
31,24,edge,7,43.81353279497279
31,66,edge,3,62.939479717627904
31,34,edge,9,20.406106729588096
31,59,edge,2,54.62396237256781
31,36,edge,7,124.859920039414
31,18,edge,18,19.746185107659148
31,60,edge,17,41.914526687584306
31,12,edge,6,57.20076372454871
31,40,edge,12,37.630608596143006
31,45,edge,8,60.35885236629467
31,0,edge,6,30.056537206812184
31,35,edge,4,54.392741979668344
31,74,edge,6,84.47236745061241
31,70,edge,17,45.70136745929973
31,4,edge,14,44.03358285712223
31,40,edge,12,48.39818921215105
31,10,edge,8,117.47306910785015
31,13,edge,7,101.36851594749714
31,69,edge,4,65.61441268347373
31,17,edge,0,65.44300631068573
31,32,edge,18,39.510093422496766
31,40,edge,13,55.57875717272239
31,78,edge,7,74.64897179022994
31,54,edge,19,181.10382302412128
32,16,edge,19,14.597799366720167
32,55,edge,0,39.607504197147506
32,30,edge,15,46.643123582116154
32,6,edge,6,73.68813989933388
32,42,edge,9,66.18679385775786
32,4,edge,2,54.46124878262592
32,44,edge,11,64.42376957477927
32,24,edge,7,32.02198823658727
32,60,edge,11,25.603872599287563
32,45,edge,8,58.682380181184996
32,5,edge,17,45.006519038857974
32,73,edge,17,16.82821171482668
32,2,edge,2,17.175716043223044
32,34,edge,9,68.66744460592294
32,13,edge,19,39.64172461263829
